date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:23%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CORR	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CORR	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:23%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/COS	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/COS	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:24%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/COSH	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/COSH	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:24%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/COT	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/COT	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:24%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/COUNT	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/COUNT	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:25%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/COVAR_POP	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/COVAR_POP	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:25%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/COVAR_SAMP	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/COVAR_SAMP	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:25%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CRC32	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CRC32	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:25%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CUME_DIST	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CUME_DIST	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:26%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CURRENT_DATE	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CURRENT_DATE	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
